age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
47,4,524340,3,2,11,2,4,1,15243,1130,85,25,1
60,5,340212,11,2,13,4,4,0,7972,1998,46,16,0
43,6,340146,12,5,11,5,1,0,26796,2378,59,24,1
27,2,409901,0,0,7,3,2,1,0,2380,85,37,0
68,7,518401,11,0,9,2,3,0,26861,1136,85,35,0
33,2,340607,12,3,4,1,2,1,101916,0,71,8,0
38,8,44472,8,4,1,2,3,0,15234,1142,36,24,0
52,8,114181,7,0,4,5,1,0,26779,1898,71,2,1
52,6,272597,4,5,13,4,4,0,101982,0,85,0,0
38,4,340826,15,1,4,5,2,0,0,1666,23,12,0
60,8,113612,9,6,4,0,4,0,26806,1997,36,12,1
43,3,272395,7,4,12,1,3,1,8005,1997,60,2,0
43,2,188834,15,0,14,5,1,1,7980,3043,40,39,1
52,1,142279,5,0,2,4,3,0,3887,1659,50,38,1
43,5,522265,15,0,13,1,0,1,101866,1897,23,10,0
74,2,142533,3,6,0,2,4,1,0,0,85,9,1
60,3,142867,9,6,9,0,1,1,0,1131,71,21,1
52,1,44418,0,4,10,2,0,1,102075,1997,36,39,0
38,6,273209,14,3,14,2,1,0,26948,3066,31,11,0
52,8,519928,3,1,9,3,4,1,15222,1141,85,32,1
60,1,113572,3,6,3,4,3,0,101936,2380,13,29,1
33,1,273177,10,0,0,2,4,0,0,2378,85,19,1
33,3,519060,11,2,8,5,1,1,102003,0,71,36,0
60,0,44476,10,5,1,2,2,0,26744,1666,36,8,1
43,1,222773,5,3,3,4,2,0,3901,3043,85,3,1
21,0,339765,0,4,9,4,4,1,3887,1897,13,9,0
67,1,340028,2,3,10,3,3,0,15252,1664,40,1,1
60,4,44506,7,2,12,5,4,0,8021,0,36,25,1
38,8,340364,5,4,8,1,2,0,15250,1898,13,39,1
52,8,408010,8,0,5,0,0,0,15234,1667,50,1,0
47,5,44495,9,2,8,4,0,1,3841,1897,50,29,1
33,5,142599,4,2,0,1,2,1,0,1137,85,38,0
27,8,44497,2,5,2,3,0,1,101980,2379,36,17,0
38,3,520275,8,1,7,5,0,0,0,1998,40,26,0
74,5,407519,11,3,9,5,1,0,102008,1661,31,11,0
52,1,113767,3,3,11,1,3,1,0,0,46,31,0
33,7,188193,10,0,13,4,2,0,15224,0,23,15,0
33,5,222908,12,1,13,2,0,0,3851,2375,36,21,1
47,3,142878,5,5,4,1,4,0,101846,1666,23,12,1
38,0,188732,12,6,10,4,3,1,101946,1997,40,13,1
60,4,408794,0,4,12,5,0,0,3914,0,13,28,1
27,2,114666,3,1,4,3,4,0,102086,2377,31,32,0
60,0,410273,11,6,7,4,0,0,0,0,59,21,0
27,4,521804,11,2,10,0,1,1,26879,1898,13,3,0
27,1,223431,8,4,12,1,4,0,7984,2381,71,21,1
38,0,223209,8,5,14,4,4,0,8002,1997,13,8,0
21,2,222617,12,2,5,5,1,1,0,1669,40,35,1
21,1,113965,5,6,14,0,2,1,26819,1997,13,2,1
38,8,272822,11,4,9,2,2,1,15241,2379,36,23,1
74,5,272420,14,0,0,2,0,0,101967,1997,85,18,1
47,4,339980,1,6,2,4,0,0,0,3052,71,25,0
27,0,521361,8,4,4,4,4,1,8007,1134,36,24,0
38,2,44502,11,4,1,5,3,1,15218,1997,46,21,1
52,4,188681,1,3,0,5,4,1,15241,1898,36,41,0
67,1,223510,7,4,8,2,4,1,7980,1996,85,14,0
52,3,272004,10,5,8,1,2,0,0,1662,36,33,1
47,8,520865,5,3,14,3,1,1,15242,1131,23,27,1
74,0,188637,13,6,9,2,3,0,0,1667,31,21,0
60,5,223236,0,0,2,4,4,0,102058,1997,23,0,0
60,3,44258,14,0,4,5,4,0,26817,1148,50,31,1
74,6,223553,12,0,9,4,2,1,3897,1120,31,38,1
38,0,272483,1,6,12,5,0,1,0,1659,46,6,1
38,1,409408,14,4,10,5,0,1,101990,0,13,40,1
43,8,188666,10,4,7,3,0,0,0,2380,71,12,0
21,0,189182,5,3,9,5,3,0,7983,1663,71,28,0
21,0,408947,11,3,1,2,2,1,3854,1667,36,39,0
38,7,188485,13,6,14,1,0,1,0,2379,59,18,1
21,5,520347,15,1,5,4,0,0,102019,1898,23,16,0
52,7,339927,4,3,13,3,1,0,0,1132,40,17,1
27,2,340390,5,0,11,2,3,0,0,1661,23,36,0
38,2,409161,5,0,9,0,3,1,102136,1897,31,21,1
38,1,188993,4,6,14,0,1,0,3866,1135,71,6,0
74,0,409219,11,2,4,4,0,1,3864,1137,23,32,0
43,5,223180,1,3,1,1,4,0,7978,1664,59,30,1
33,8,44479,1,3,11,3,2,0,0,1898,50,4,0
21,7,143111,1,5,0,2,1,0,15231,1996,85,11,1
38,7,188717,13,2,8,4,3,1,0,2381,31,13,0
67,7,409363,15,4,5,5,2,0,0,0,13,41,1
60,4,408786,0,6,11,4,4,1,26751,1997,31,13,1
47,2,189404,10,5,3,4,3,1,0,0,46,26,0
43,4,188806,2,6,6,0,4,1,7972,1135,71,30,1
67,4,518530,10,2,10,3,1,1,26748,1997,31,12,1
38,4,114106,13,6,1,2,0,1,0,1898,71,34,1
74,8,44415,4,1,6,3,2,0,26783,1666,31,2,0
