age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
36,6,289782,4,3,5,3,1,1,4885,0,63,34,0
30,2,223119,8,6,1,0,4,0,66146,1933,33,3,0
35,4,107031,9,2,5,5,2,1,0,0,17,37,1
30,6,162389,9,3,8,4,1,1,6047,2034,47,14,1
36,1,311018,0,0,4,1,4,1,45963,1964,40,9,0
30,5,110637,15,3,9,1,1,1,64083,1892,19,0,1
45,6,46956,13,3,9,2,2,0,0,1680,46,22,0
36,4,48893,3,4,3,5,4,1,0,0,55,35,0
36,1,161627,11,2,9,0,1,0,61542,2050,40,5,1
20,5,225521,10,0,0,0,2,0,0,1713,47,0,0
45,1,111600,11,6,3,3,4,0,0,1670,46,27,1
36,4,297436,1,6,11,3,1,1,0,0,21,36,1
30,7,161432,1,4,11,0,1,0,69374,1894,55,0,1
36,5,160933,6,3,5,0,3,0,0,1890,55,39,0
36,4,217618,13,5,6,5,4,1,67943,0,62,21,0
36,6,298435,0,2,12,3,4,0,0,0,19,36,1
20,1,223017,10,3,7,0,1,0,64472,1889,40,0,0
45,7,224448,2,6,1,0,2,0,5626,0,34,39,1
20,6,219704,14,0,1,4,2,0,5929,1976,55,30,1
45,1,302481,11,2,9,0,2,0,5278,1887,40,4,0
20,6,109488,9,5,2,0,1,0,0,1889,46,0,1
20,4,303639,14,3,7,0,0,1,0,1710,33,4,1
46,2,161951,8,6,13,1,4,0,0,1704,18,0,0
20,1,305649,4,1,11,0,3,0,0,1698,34,34,1
30,4,308511,5,1,9,3,2,0,51012,0,18,0,0
45,5,47076,4,4,14,4,2,0,5182,0,60,36,1
36,2,47720,0,5,7,2,2,0,0,2001,40,4,0
30,1,46352,4,5,5,2,4,0,3941,1950,54,40,0
20,4,229312,11,3,11,3,0,1,0,0,55,14,1
30,7,292989,11,0,10,0,4,1,5851,0,47,14,1
45,2,163300,9,6,1,0,3,0,0,0,40,16,1
20,4,50217,2,5,12,2,4,0,53595,0,58,22,1
31,5,49265,15,3,11,2,4,0,0,1899,46,8,0
45,1,160017,2,5,6,0,0,0,5345,2053,47,39,0
45,5,161417,5,2,7,4,4,0,0,1708,40,1,0
35,5,46113,1,3,6,2,0,1,0,1954,47,35,1
36,4,306281,13,4,0,1,4,0,0,1882,54,40,1
46,0,164582,14,4,8,2,4,1,74793,0,54,14,0
20,5,111096,7,4,4,2,2,1,0,1925,55,30,0
35,1,47958,2,1,5,1,0,0,0,0,54,2,1
20,5,104832,10,1,9,1,1,1,6151,0,60,16,0
36,0,49934,7,6,6,4,3,1,0,0,17,5,1
30,4,224907,4,0,5,3,4,0,0,0,54,39,0
20,4,108477,13,0,5,4,2,1,75645,0,33,24,1
36,5,109278,15,4,14,3,3,0,0,2045,54,19,1
36,2,53074,8,0,10,1,0,1,0,2002,47,1,1
20,7,108413,4,2,11,1,2,1,0,2067,59,29,1
35,5,230221,11,1,2,1,4,0,5058,1728,46,9,0
45,5,164406,4,3,9,2,4,1,0,0,47,20,1
45,2,162839,14,4,2,3,0,1,0,1883,20,8,0
31,2,306500,11,6,7,0,4,1,62145,1872,58,40,1
