age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
50,7,38532,2,0,0,1,4,1,0,0,40,39,0
77,4,99296,9,2,12,0,4,0,0,0,46,39,1
31,4,171520,9,2,6,0,1,1,0,0,40,2,0
31,4,170772,11,2,3,0,4,1,0,0,46,39,0
18,4,59986,2,4,3,3,4,1,0,0,87,39,0
20,4,337972,0,4,3,3,4,1,0,0,20,39,0
62,4,31400,9,4,5,1,4,1,0,0,61,39,0
24,4,203035,11,2,1,0,4,1,0,0,40,39,0
33,4,162715,15,4,6,3,2,0,0,2308,45,39,0
20,4,38812,15,4,9,4,0,0,0,0,40,39,0
24,0,43783,2,4,0,1,4,1,0,0,40,39,0
33,4,200234,4,5,6,1,1,0,0,0,40,37,0
28,4,213740,11,5,1,4,2,0,0,0,40,3,0
19,4,155580,15,4,6,3,3,1,0,0,89,2,0
37,4,188697,5,2,3,0,4,1,0,0,83,39,1
32,4,68786,14,2,1,0,4,1,0,1632,50,39,1
32,4,180427,11,2,6,0,4,1,0,0,40,39,0
28,4,152926,9,2,6,0,1,1,0,0,40,21,0
57,6,34962,8,2,3,0,4,0,0,0,40,39,0
69,4,53279,12,0,10,4,4,1,0,0,40,40,0
52,4,297633,15,4,8,3,4,1,0,0,40,9,0
49,6,160749,5,2,3,0,4,1,0,0,50,39,1
35,4,30813,2,0,6,4,1,0,0,1604,40,39,0
32,6,54372,11,2,6,0,4,1,0,0,79,24,0
19,4,232096,11,4,3,3,4,0,0,0,40,39,0
56,4,294904,11,6,8,4,4,0,0,0,40,39,0
25,4,25787,8,4,3,3,0,0,0,0,40,39,0
60,0,39543,2,5,0,4,4,1,0,0,40,39,0
33,4,133843,11,2,12,0,1,0,0,0,88,31,0
34,4,142412,9,2,10,0,4,1,14437,0,47,39,1
39,4,167608,11,2,3,0,4,1,0,0,23,39,0
35,4,160823,15,4,4,3,4,1,0,0,36,39,0
52,4,167283,11,2,6,2,4,0,0,0,40,3,0
38,4,187870,12,0,1,4,4,0,0,1583,36,39,0
25,4,193732,11,4,3,3,4,0,0,0,40,39,0
29,4,153082,15,4,12,4,3,1,0,0,38,39,0
59,6,31870,15,2,3,0,4,1,0,0,40,39,0
31,4,161025,11,4,6,1,4,1,0,1589,36,39,0
31,4,164721,11,2,3,0,4,1,0,0,46,39,0
28,4,168245,9,2,12,0,4,0,0,0,40,39,0
33,4,206220,1,2,6,0,4,1,0,0,18,39,0
35,4,175420,8,4,3,1,4,0,0,0,45,39,0
36,6,151492,11,2,12,0,1,0,0,0,22,39,0
36,4,160397,15,2,6,2,2,1,0,0,80,39,0
55,6,176464,11,2,3,0,4,1,0,0,91,39,0
25,4,33011,11,4,3,2,0,0,0,2654,40,39,1
34,4,183857,12,2,10,0,4,1,4022,0,50,39,0
19,4,423999,1,4,12,3,4,0,0,0,25,39,0
35,4,233600,9,4,6,4,4,0,0,0,37,39,1
35,4,30622,2,2,3,0,4,1,0,0,40,39,0
31,4,167050,6,2,6,0,4,0,0,0,23,39,0
25,4,177227,1,4,6,3,4,1,0,0,25,39,0
49,0,49012,2,4,0,4,1,1,0,0,40,40,0
65,6,34304,12,2,12,0,4,1,0,0,92,39,0
19,4,38414,6,6,0,4,2,0,0,0,16,39,0
51,4,41434,10,0,4,1,0,1,0,1886,46,39,0
17,4,70763,11,4,3,3,4,1,0,0,40,39,0
31,4,185989,10,4,10,1,4,1,0,0,40,39,0
42,4,168482,11,2,13,0,4,0,0,0,50,39,0
57,4,101543,11,2,12,0,4,1,0,1986,27,39,1
36,4,29707,8,2,3,0,4,1,0,0,40,39,0
73,4,126734,9,2,10,0,4,1,0,0,27,39,1
20,0,37624,1,6,0,3,2,1,0,0,12,39,0
19,4,32659,1,4,14,3,4,1,0,0,40,39,0
26,4,221174,8,4,7,1,4,1,0,0,40,39,0
32,6,160080,14,2,3,0,4,1,0,0,40,39,1
26,4,34976,8,4,6,2,3,1,0,0,40,9,0
34,4,173925,9,0,10,4,4,0,0,2347,40,39,0
35,4,214558,9,2,6,0,1,1,0,0,79,21,1
36,4,65236,9,2,12,0,1,1,0,0,76,21,0
19,0,34367,1,4,0,4,4,1,0,0,16,39,0
47,6,86622,9,2,11,0,4,1,0,0,22,39,1
51,4,14223,15,0,13,4,4,0,0,0,30,39,0
24,4,197963,11,2,3,0,4,1,0,0,40,39,0
19,4,171330,15,4,1,4,4,0,0,1616,36,39,0
34,4,160206,12,2,10,0,4,1,0,0,47,39,0
29,6,230742,11,2,3,0,4,1,0,0,78,31,1
36,0,52057,10,4,3,3,4,1,0,0,40,39,0
40,4,93707,9,2,10,0,4,1,0,0,45,39,1
35,4,29741,2,4,3,3,4,1,0,0,45,39,0
25,4,213085,8,2,3,0,4,1,0,1894,40,39,0
48,4,24984,11,2,5,2,4,0,0,0,45,39,0
52,4,25050,9,2,10,0,4,1,0,0,85,39,0
26,4,205896,15,4,12,4,4,0,0,0,13,39,0
51,4,274791,11,4,8,3,4,1,0,0,31,39,0
32,4,171681,11,5,12,2,4,0,0,0,30,39,0
30,4,193815,11,3,12,1,2,0,0,0,25,39,0
28,4,198082,11,2,12,0,2,1,0,0,76,39,0
51,4,38359,9,0,6,1,4,1,0,0,50,39,0
30,4,208374,9,4,12,1,4,1,0,0,50,39,0
24,4,329761,0,4,7,2,2,0,0,0,40,2,0
24,4,205716,11,4,8,4,2,0,0,0,40,39,0
32,4,48988,9,0,12,1,4,1,0,0,61,39,0
24,4,187885,10,2,3,0,1,1,0,0,85,3,0
81,4,27526,14,2,10,0,4,1,14421,0,27,39,0
24,4,298757,11,4,12,3,2,1,2979,0,50,39,0
34,6,20317,11,2,3,0,4,1,0,0,46,39,0
59,4,185436,9,0,10,1,4,1,0,0,40,39,0
33,0,223165,2,4,0,4,2,1,0,0,9,39,0
36,4,187056,8,2,3,0,4,1,0,0,82,41,0
48,4,240143,1,0,8,4,4,0,0,0,33,19,0
36,4,192376,10,2,3,0,4,1,0,1889,40,39,0
35,0,180241,9,4,3,1,4,1,0,0,46,39,0
34,6,27619,11,2,3,0,4,1,0,0,46,39,0
48,7,35124,8,0,10,1,4,1,0,0,40,39,0
31,4,32403,15,4,3,1,4,1,0,0,40,39,0
26,4,174853,2,4,6,1,4,1,0,0,40,39,0
32,4,45771,14,0,10,1,3,0,0,2339,40,39,0
62,6,31776,10,2,10,0,4,1,0,1990,46,39,1
19,0,29700,8,6,0,4,2,0,0,0,11,39,0
28,4,163528,11,2,1,0,4,0,0,0,23,39,0
51,4,98622,12,2,10,5,1,0,0,1627,79,8,1
19,4,173989,1,4,3,3,4,1,0,0,40,39,0
36,4,171373,14,2,10,0,4,1,0,0,44,39,1
26,4,46215,2,4,8,4,4,0,0,0,40,39,0
31,4,202190,15,2,12,1,4,1,0,0,50,39,0
58,4,207999,9,0,10,4,4,0,0,0,10,39,0
21,4,182529,9,2,10,2,4,0,0,0,40,19,0
24,4,218632,15,4,3,3,4,1,0,0,46,39,0
31,4,60979,9,0,10,1,4,1,0,0,58,39,0
39,2,167764,5,2,3,0,4,1,0,0,50,39,1
24,4,171876,11,4,3,2,4,1,0,0,40,36,0
53,4,214314,15,0,10,1,4,1,0,1988,50,39,0
31,4,216562,11,2,3,0,4,1,0,0,40,39,0
19,3,57978,1,4,14,3,4,1,0,0,27,39,0
60,0,194572,2,4,0,3,4,1,0,0,11,39,0
17,0,58025,6,6,0,4,2,1,0,0,1,39,0
33,4,181643,9,2,3,0,4,1,3370,0,40,40,0
16,4,62767,15,4,12,1,4,1,0,0,34,39,0
39,4,212191,11,4,6,4,2,0,3742,0,17,39,0
34,4,185500,14,2,3,0,4,1,0,0,45,39,0
37,4,213089,1,4,12,3,4,0,0,1594,38,39,0
34,4,181423,14,2,3,0,4,1,0,0,50,39,0
23,0,40321,2,4,0,1,4,1,0,0,11,39,0
40,4,75021,9,2,12,0,2,0,0,0,50,39,0
26,4,163855,11,2,3,0,4,1,0,0,40,3,0
36,4,94689,15,0,12,1,2,0,0,0,31,39,0
30,4,180353,11,2,1,0,4,0,0,0,40,39,0
25,0,32161,2,4,0,4,4,1,0,1545,35,39,0
30,4,20484,15,4,1,4,4,0,0,1616,40,39,0
35,4,186166,12,0,10,4,4,0,0,1987,40,39,0
20,4,47982,0,4,7,3,4,1,0,0,32,39,0
19,4,194787,6,6,4,4,4,0,0,0,-2,39,0
24,4,22678,1,4,3,3,0,1,0,0,47,39,0
56,1,310499,14,2,3,0,4,1,0,0,28,39,0
30,7,86405,9,2,12,5,4,1,0,0,23,40,0
37,6,168106,11,2,3,0,4,1,0,0,45,39,0
34,4,77419,8,2,3,0,4,1,0,0,40,39,0
34,4,177204,8,2,3,0,4,1,0,0,40,9,0
28,4,322878,11,5,6,2,4,0,0,0,40,3,0
52,4,19426,8,2,10,4,4,1,0,0,46,39,0
34,4,52804,0,2,6,0,4,1,0,0,25,39,0
58,0,42968,2,6,0,4,2,1,0,0,14,4,0
