age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
24,4,376729,15,4,8,4,2,1,0,0,35,39,0
20,4,259660,11,2,3,3,4,1,0,0,61,39,0
47,7,189688,9,2,4,0,4,1,0,0,24,39,1
20,4,261891,11,2,3,3,4,1,0,0,60,39,0
24,4,114709,11,4,1,2,2,0,0,0,40,0,0
45,4,174766,9,4,12,1,4,0,0,0,40,39,0
60,4,272698,11,2,3,3,4,1,14740,0,57,39,1
26,4,136398,5,2,8,0,4,1,0,0,40,39,0
20,4,234310,11,4,6,3,4,1,0,0,57,2,0
66,4,149342,0,6,12,4,4,1,0,1630,22,39,0
63,4,132289,11,2,12,0,4,1,0,0,61,39,0
36,2,83850,11,0,8,4,4,0,0,0,40,39,0
43,4,164378,9,2,4,5,4,0,0,0,20,39,1
18,4,91277,15,4,10,3,4,0,0,0,30,39,0
20,4,243813,5,2,7,3,4,1,0,0,50,39,0
20,4,277535,11,2,4,0,4,1,0,0,45,39,0
43,4,206081,15,2,4,0,4,1,0,0,46,39,1
21,0,195221,0,3,0,3,4,1,0,0,20,39,0
52,4,144794,15,2,4,0,4,1,0,0,46,39,1
72,0,148347,0,6,4,4,4,0,0,1648,12,39,0
26,0,128654,11,4,14,2,2,1,0,0,40,30,0
20,4,275415,11,4,6,3,4,1,0,0,29,39,0
21,7,186440,0,3,5,2,4,1,0,1894,58,39,0
25,4,101517,11,4,3,5,4,1,0,0,40,39,0
20,6,286087,0,3,8,4,4,1,0,1628,30,39,0
57,4,197793,9,2,7,0,4,1,0,0,72,39,0
34,2,135848,11,2,8,0,4,1,0,0,59,39,0
40,4,627932,0,2,8,0,4,1,3062,0,40,26,0
28,0,135152,15,6,5,1,4,1,0,1636,40,39,0
30,4,217648,15,2,4,0,4,0,0,0,40,39,0
36,4,272883,0,2,8,0,4,1,0,0,40,39,0
35,4,290150,11,2,3,0,4,1,0,0,60,39,0
24,4,229798,11,4,8,5,4,0,99689,0,58,39,0
49,4,228522,15,2,4,2,4,0,0,0,40,39,1
36,2,150760,11,2,4,0,4,1,0,0,40,39,0
60,2,122629,15,2,4,0,4,0,0,0,40,39,0
39,4,212214,9,2,4,0,4,1,14894,0,24,39,1
25,4,223970,0,3,8,3,4,1,0,0,59,39,0
43,4,245420,11,2,3,0,4,1,0,0,46,39,1
62,2,127960,11,2,4,0,4,1,0,0,46,39,0
23,2,182990,7,0,1,1,4,0,0,0,36,39,0
20,0,99292,15,6,9,4,4,0,0,1626,18,39,0
42,4,81255,8,2,4,0,4,1,0,1891,40,39,1
23,4,381773,15,4,10,1,4,0,0,0,40,5,0
51,4,203546,10,2,4,0,4,1,0,2364,45,39,1
61,4,177769,11,2,7,0,4,1,0,0,40,23,0
64,2,158241,11,2,12,0,4,1,0,0,23,39,0
55,4,379127,10,5,8,1,4,0,0,0,48,39,1
43,4,255096,11,2,3,0,4,1,0,0,57,39,0
57,4,148300,9,2,4,0,4,1,0,0,40,39,0
43,4,234695,15,2,4,0,4,1,0,0,45,39,0
58,4,377032,0,2,12,0,4,1,0,0,17,39,0
33,4,257216,2,5,8,1,2,1,0,0,47,39,1
33,4,233155,11,2,6,0,4,1,0,0,58,39,0
32,6,84691,11,2,3,0,4,1,0,0,61,39,0
21,4,119421,15,4,4,2,4,1,0,0,36,39,0
62,4,124906,15,2,4,0,4,0,0,0,21,39,0
39,4,245181,12,2,4,0,4,1,0,0,50,39,1
38,2,105557,11,2,8,0,4,1,0,0,40,39,0
50,0,291737,11,2,4,0,4,1,0,0,46,39,1
40,4,146980,11,2,14,0,4,1,0,0,40,3,0
24,4,204688,12,4,4,4,4,0,0,0,35,39,0
18,2,139433,11,2,4,0,4,1,0,0,46,39,0
38,2,144515,15,0,8,4,4,0,0,0,40,39,0
21,4,130810,15,2,4,0,4,1,0,0,11,39,1
32,4,185653,9,2,12,0,4,1,0,0,47,39,0
43,7,46933,15,2,4,3,4,0,0,0,23,39,1
58,4,184632,0,6,12,1,4,1,0,0,31,39,0
29,4,62820,0,2,7,2,3,1,0,0,40,26,1
26,4,160702,15,4,4,3,4,0,0,0,58,39,0
38,4,261649,8,5,8,3,4,1,0,0,40,39,0
60,4,190395,12,3,10,4,4,1,0,0,23,39,0
26,4,117751,15,4,3,1,4,1,0,0,40,39,0
24,2,36010,2,2,5,3,4,1,0,0,59,39,0
24,4,123433,7,4,10,4,4,0,0,0,36,39,0
20,4,399372,11,4,4,3,4,1,0,0,31,39,0
44,4,240421,9,2,4,0,4,1,7277,0,50,39,1
46,4,148297,11,2,4,0,4,1,0,0,40,39,0
38,4,269777,11,2,3,0,4,1,0,0,62,14,1
58,4,106531,11,4,4,5,1,0,0,0,40,0,0
27,4,288913,11,2,3,0,4,1,0,0,40,39,0
40,5,241707,9,2,4,0,4,1,0,0,50,39,1
20,4,252978,11,4,8,3,4,0,0,0,30,39,0
18,4,159514,15,4,10,1,4,1,0,0,31,39,0
26,4,227352,9,2,14,0,4,1,0,0,59,36,0
40,6,138942,11,2,8,0,4,1,0,0,60,39,0
44,4,109601,15,2,4,5,4,0,0,0,46,39,0
37,4,37158,5,2,8,0,4,0,0,0,22,39,0
41,4,207376,12,2,4,0,4,1,7341,0,46,39,1
51,4,167948,12,2,12,0,4,1,100116,0,18,37,1
26,4,114105,15,2,4,3,4,1,0,0,58,39,0
20,4,277640,15,4,9,3,4,0,0,0,30,40,0
26,4,132361,15,0,4,2,4,0,0,0,40,39,0
25,4,193748,9,4,14,1,2,1,0,0,40,39,0
26,4,45724,15,4,12,3,4,0,0,0,45,36,0
28,0,120236,15,2,3,0,4,1,0,0,58,39,0
38,4,250336,12,2,8,3,4,1,0,0,31,39,0
27,4,283384,11,2,3,3,4,1,0,0,46,39,0
44,4,231141,9,2,4,0,4,0,0,0,47,39,1
43,4,218864,11,2,3,0,4,1,0,0,71,39,0
37,2,141418,11,2,6,0,4,1,0,0,40,39,0
35,4,404507,15,4,10,3,4,1,3312,0,40,39,0
48,4,112943,15,2,4,0,4,1,0,0,45,39,1
42,4,231349,12,2,4,0,4,1,6645,0,50,39,1
36,2,132643,11,0,8,4,4,1,0,0,40,39,0
27,4,234309,11,0,14,1,2,1,0,0,40,39,0
48,4,260746,10,2,4,0,4,1,0,0,46,39,1
48,4,134419,15,2,5,0,4,1,0,0,58,36,1
41,4,219555,11,0,8,4,4,0,0,0,40,39,0
22,0,100536,11,2,0,2,4,0,0,0,40,4,0
21,4,134049,9,4,10,1,4,0,0,0,40,39,0
35,4,235413,5,5,7,4,4,1,3173,0,40,39,0
66,4,32932,15,2,4,3,4,0,0,0,22,39,0
41,4,237834,12,2,13,0,4,1,6963,0,40,3,1
51,4,36930,2,2,3,0,4,1,100615,0,46,39,1
21,4,250528,0,3,8,4,3,1,0,0,30,26,0
44,0,277115,15,2,4,0,4,1,0,0,47,39,1
21,4,124136,11,4,1,1,4,1,6935,0,40,10,0
43,0,109854,15,2,4,0,2,0,0,0,40,39,0
56,4,209033,9,6,5,1,4,1,0,0,92,39,0
20,6,278421,11,4,0,3,4,1,0,1628,30,39,0
21,6,280990,11,2,6,3,4,1,0,0,57,39,0
41,0,134941,11,2,4,0,4,0,0,0,40,39,0
57,4,138777,13,5,8,1,4,0,0,0,49,39,1
40,6,140935,11,2,12,0,4,1,0,0,22,34,0
49,4,212712,9,2,4,0,4,0,0,0,21,39,1
20,4,415624,11,4,3,3,4,1,0,0,57,39,0
44,4,183185,12,2,4,0,4,1,7468,0,20,39,1
40,4,218351,7,4,10,4,4,0,0,0,36,8,0
37,4,424254,11,0,9,4,2,0,0,0,40,35,0
23,4,185760,15,4,12,1,4,0,0,0,24,39,0
42,5,233506,9,2,4,0,4,1,0,0,46,39,1
41,2,138150,9,2,12,0,4,1,0,0,23,39,1
19,4,262470,11,0,8,3,4,1,0,0,61,39,0
19,4,208633,11,0,3,3,4,1,0,0,40,39,0
35,2,144638,11,2,8,0,4,1,0,0,40,39,0
39,0,17128,15,4,0,3,4,0,0,0,40,39,0
33,6,128971,11,2,8,0,4,1,0,0,60,39,0
40,4,287756,11,2,3,0,4,1,14726,0,47,39,0
28,2,85003,11,6,1,4,4,0,0,1634,40,39,0
36,2,104812,15,2,4,0,4,1,0,0,40,39,0
20,4,125548,11,4,1,1,4,0,0,0,59,39,0
66,4,145760,0,6,12,4,4,0,0,0,23,39,0
25,4,131878,15,4,1,2,2,0,0,0,35,20,0
20,4,113307,11,4,1,3,4,0,0,1633,36,25,0
25,4,295540,11,4,14,1,2,1,0,0,40,39,0
65,4,157478,0,6,10,1,4,0,0,1632,22,39,0
69,0,165172,0,6,0,4,4,1,0,1632,21,39,0
41,4,186885,9,4,4,1,4,0,0,0,40,39,0
47,4,159400,11,2,4,0,4,1,0,0,40,19,0
