age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
21,4,266740,11,0,8,4,4,1,0,0,41,39,0
37,6,66815,11,2,7,3,4,1,0,0,65,8,0
22,2,173139,11,2,7,0,4,0,0,0,40,39,0
50,4,71077,15,2,8,0,4,1,44272,0,40,23,1
21,4,82162,15,4,1,1,4,0,0,0,60,6,0
21,4,181804,15,2,11,0,4,1,0,0,66,39,0
32,4,387562,11,0,10,3,4,1,0,0,40,39,0
31,4,205655,12,4,3,3,2,0,0,0,9,39,0
49,4,231489,11,2,12,0,4,1,0,0,50,39,1
40,4,199182,11,2,4,0,4,1,0,0,63,39,1
39,4,183445,7,2,1,0,4,1,50291,1716,46,39,0
50,4,187675,10,4,4,0,4,1,0,0,69,33,1
22,4,198290,11,2,4,1,4,1,0,0,40,0,0
38,0,131970,11,0,0,0,4,1,479,0,49,39,0
32,4,287737,8,2,1,4,2,1,0,0,40,39,1
21,6,194092,15,4,12,4,2,1,0,0,27,39,0
39,4,240235,9,2,3,4,4,1,0,0,41,39,1
37,4,38520,9,2,8,1,2,1,0,0,49,39,0
46,6,66226,9,4,12,5,2,0,0,0,28,39,0
31,4,340912,11,0,3,4,4,1,0,0,33,39,0
21,6,151943,11,2,12,0,4,1,0,0,59,39,1
50,0,288090,15,2,4,0,2,1,4452,0,39,39,0
38,7,126307,11,2,8,5,4,1,0,0,41,39,0
36,4,185257,15,4,13,1,0,0,0,0,40,39,0
21,0,123740,11,2,4,0,4,1,0,0,40,39,0
39,0,416386,15,2,4,0,4,1,3625,0,57,39,0
21,2,58502,11,2,1,3,4,0,8232,0,40,39,0
31,4,203889,15,2,10,0,4,1,0,0,40,39,0
48,4,182980,9,2,12,5,4,0,2202,0,39,39,0
37,4,173530,11,5,12,1,4,1,0,0,39,39,0
39,4,74110,11,2,4,0,4,1,0,0,41,39,1
50,4,185252,11,2,10,0,4,1,0,0,55,39,1
31,6,159333,1,0,13,4,4,0,0,0,35,39,0
21,4,57617,4,2,0,4,2,0,0,0,40,36,0
