age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
49,4,107019,12,2,4,0,4,0,0,0,70,39,1
23,4,113787,8,4,10,1,4,1,0,0,40,39,0
38,4,124725,15,2,4,0,1,1,0,0,40,2,1
61,7,212845,11,5,8,4,2,0,0,0,31,39,0
68,7,203190,14,0,11,1,4,1,-1201,0,46,39,1
50,7,138603,12,2,4,5,4,0,0,0,71,39,1
28,4,188584,11,6,8,4,4,0,0,0,40,39,0
44,4,139090,0,2,12,5,4,0,0,0,31,39,0
57,4,384605,11,2,5,0,4,1,0,0,40,39,0
69,4,115940,14,5,11,4,4,0,1982,0,46,39,1
48,7,182965,14,0,5,4,4,1,0,0,40,39,1
18,4,246963,0,2,3,3,4,1,0,0,21,39,0
52,4,143125,9,2,4,5,1,0,0,0,21,39,1
52,4,56827,2,5,10,1,3,1,0,407,40,27,0
62,7,121631,11,6,12,4,4,0,0,0,46,39,0
59,4,435992,15,2,3,0,4,1,0,0,40,9,1
40,4,129369,9,2,4,0,1,1,0,0,40,39,1
62,7,112628,11,5,9,4,4,0,0,0,40,5,0
62,7,99497,11,5,9,4,4,0,0,0,31,39,0
63,7,214568,11,5,8,4,2,0,0,0,40,39,0
27,4,113607,15,4,13,1,4,1,0,0,40,39,0
27,4,111868,8,0,5,1,4,1,0,0,47,39,0
28,7,229366,11,5,12,4,4,0,0,0,40,39,0
50,4,134226,9,2,4,5,1,0,0,0,40,31,1
56,4,159759,9,2,4,0,4,0,0,0,50,39,1
62,4,200124,5,6,7,3,2,0,0,0,24,40,0
26,7,200638,11,5,9,4,2,0,0,0,31,39,0
21,4,110248,15,4,6,3,4,1,0,0,40,39,0
28,4,50279,8,4,10,1,3,0,0,0,40,33,0
63,4,135230,14,4,5,4,4,1,0,0,24,39,1
51,4,236879,0,2,7,0,1,1,0,0,22,26,0
61,7,108540,11,5,7,4,4,0,0,0,40,39,0
66,6,193310,14,5,5,4,4,1,3311,0,46,39,1
59,4,139507,15,2,4,0,4,1,0,0,21,39,1
67,4,225663,11,5,9,4,4,0,0,0,40,39,1
67,7,41156,11,5,7,4,4,0,0,0,40,39,0
52,0,440012,2,4,0,1,4,1,0,1514,30,2,0
33,4,102696,15,2,3,0,4,1,0,0,40,39,0
53,4,175171,11,2,13,0,4,1,0,0,23,39,0
19,4,133176,2,4,6,3,4,1,0,0,20,39,0
22,0,349618,15,4,0,3,4,1,0,0,21,39,0
53,4,121744,0,4,5,0,4,1,0,0,23,39,0
45,4,196537,0,2,12,5,4,1,0,0,24,39,1
47,4,142957,15,2,4,0,1,1,0,0,50,39,1
27,4,50549,8,0,10,1,3,0,0,676,40,5,0
62,5,190707,11,5,11,4,4,1,0,0,40,39,0
66,7,188678,14,5,11,4,4,0,0,0,47,39,1
57,4,137634,11,2,7,0,4,1,0,0,40,39,0
42,4,139436,15,2,4,0,1,1,0,0,40,33,1
34,6,137183,14,0,3,4,4,1,-2295,0,45,39,0
69,7,142526,14,0,11,1,4,1,5284,0,48,39,1
21,4,516601,9,2,4,0,4,1,0,0,23,39,0
34,4,142799,15,2,12,0,1,1,0,0,23,26,0
62,4,125142,14,4,6,3,4,1,0,0,31,39,0
46,4,112760,9,2,4,0,1,1,12624,0,67,39,1
66,7,193512,14,0,9,1,4,0,8432,1648,40,39,1
65,4,42293,14,0,9,4,4,1,0,0,72,39,0
25,4,46571,8,4,10,1,4,1,0,0,40,39,0
24,4,105494,8,4,10,1,4,1,0,0,40,39,0
56,4,128483,15,2,7,0,1,1,0,0,24,12,1
45,4,119643,15,2,4,0,1,1,0,0,52,39,1
61,7,119834,11,5,9,4,4,0,3036,0,40,39,0
42,4,139106,9,2,4,0,1,1,114632,0,66,39,1
19,0,306423,15,4,0,3,4,1,0,0,40,39,0
68,1,114046,14,6,11,4,4,0,24694,0,47,39,1
27,4,62649,8,0,10,1,3,0,0,1342,40,11,1
65,7,127568,14,5,5,4,4,1,213,0,47,39,0
42,4,125347,15,2,4,0,4,1,0,0,69,39,1
44,4,138706,9,2,4,0,1,1,0,0,22,26,1
40,4,148314,9,2,4,0,4,1,0,0,40,39,1
60,7,194984,11,6,8,4,2,0,0,0,40,39,0
43,4,134541,9,2,4,0,1,1,0,0,67,2,1
61,4,139387,15,2,4,0,4,1,0,1986,40,39,1
65,4,109929,14,0,5,1,4,1,0,0,48,39,0
38,4,117428,15,2,4,0,4,1,0,0,40,39,1
64,7,184254,14,5,5,4,4,1,0,0,46,39,0
26,4,122529,15,4,5,3,4,1,0,0,31,39,0
24,4,113575,15,0,10,3,4,0,0,0,40,39,0
59,4,131564,15,2,4,0,1,1,7502,0,40,39,1
39,4,130578,15,2,4,0,4,1,0,0,46,39,1
33,4,140418,15,2,4,0,1,1,0,0,21,8,0
59,4,130494,15,2,4,0,1,1,0,0,50,39,1
65,4,219506,15,4,9,4,4,1,0,0,40,5,0
63,7,111673,11,6,11,4,4,0,0,0,40,39,0
30,4,121467,15,2,5,0,4,1,0,0,40,39,1
65,7,179819,14,0,9,4,4,1,2656,0,46,39,1
